key,text
home.hero.eyebrow,DUTCH OIL — DROPSHOT N° 01
home.hero.title,"The Shot<br />That <span class=""accent-electric"">Starts</span><br /><span class=""accent-electric"">The Night.</span>"
home.hero.cta,WAAR VERKRIJGBAAR
home.hero.scroll,↓ SCROLL — REFUEL
home.product.eyebrow,FLAVOUR PROFILE
home.product.headline,"DROP<span class=""accent-electric"">×</span>ZOUT."
home.product.body1,"Vol, stroperig en verrassend zacht. Dutch Oil is de premium dropshot die gemaakt is voor mensen die meer verwachten van een shotje."
home.product.body2,"Met een unieke balans van drop, honing en een subtiele zoute touch is Dutch Oil niet zomaar een drankje. Het is een smaakbeleving die het feest op gang brengt en blijft hangen lang nadat het glas leeg is."
home.product.body3,23% alcohol. Maximale smaak. Minimale compromis.
home.product.spec.abv,23%
home.product.spec.vol,70 cl
home.product.spec.serve,Cold
home.product.spec.store,Freezer
home.product.cta,MEER OVER DUTCH OIL DROPSHOT
home.fieldreport.label,⚠ FIELD REPORT
home.fieldreport.quote,“Niet zomaar een shotje.<br />Een statement.”
home.fieldreport.credit,— MIXOLOGY NL · APR 2026
home.cards.product.title,The Product
home.cards.product.sub,Drop × Zout
home.cards.story.title,The Story
home.cards.story.sub,Built in Groningen
home.cards.stockists.title,Selling Points
home.cards.stockists.sub,Find a stockist
product.hero.eyebrow,DUTCH OIL — DROPSHOT N° 01
product.hero.prefix,Thick. Smooth.<br />Unforgettable.
product.hero.title,"Drop<span class=""accent-electric"">×</span><br />Zout."
product.hero.body,Vanaf het moment dat Dutch Oil wordt ingeschonken zie je het verschil. De karakteristieke stroperige structuur geeft het shot een volle uitstraling en een zachte drinkervaring.
product.split1.eyebrow,HISTORY
product.split1.headline,"More Than<br /><span class=""accent-electric"">A Dropshot.</span>"
product.split1.body1,Dutch Oil is ontwikkeld vanuit één simpele gedachte:<br />Waarom zou een dropshot niet écht lekker kunnen zijn?
product.split1.body2,Veel dropshots draaien om alcohol. Dutch Oil draait om smaak.
product.split1.body3,Onze unieke receptuur combineert krachtige drop met een zachte honingbasis en een subtiele zoute ondertoon.
product.split2.headline,Crafted For<br />The Night.
product.split2.body1,"Dutch Oil is gemaakt voor momenten waarop vrienden samenkomen, de muziek harder gaat en de avond nog jong is."
product.split2.body2,› Het shot dat de eerste ronde opent.<br />› Het shot dat blijft terugkomen.<br />› Het shot dat het feest aanzet.
product.split2.tagline,Dutch Oil: The Best Tasting Dropshot.
story.hero.eyebrow,DUTCH OIL — DROPSHOT N° 01
story.hero.title,"<span class=""accent-electric"">From Groningen</span><br />To Every Bar."
story.hero.body,"Soms ontstaat een merk niet in een vergaderzaal.<br />Soms ontstaat het aan de bar.<br /><br />Dutch Oil begon in Groningen, waar een kroegbaas vond dat dropshot beter kon. Meer smaak. Meer karakter. Minder standaard."
story.split.eyebrow,HISTORY
story.split.headline,"The Booze<br /><span class=""accent-electric"">Company.</span>"
story.split.body1,"Opgericht door Neill en Mick, twee ondernemers met een passie voor smaak, horeca en premium shotjes."
story.split.body2,<strong>Vanaf dag één hebben we één missie:</strong><br />Het lekkerste dropshot maken dat je ooit hebt geproefd. <em>Built on character!</em>
story.split.list.intro,Dutch Oil staat voor:
story.split.list.item1,› Kwaliteit boven massa
story.split.list.item2,› Smaak boven marketing
story.split.list.item3,› Karakter boven compromis
story.split.list.item4,› Samen genieten boven alleen drinken
stockists.hero.eyebrow,DIGGING FOR DUTCH OIL
stockists.hero.title,Always Close To<br />The Next Round.
stockists.hero.body,Benieuwd waar je Dutch Oil kunt proeven of kopen? Gebruik de kaart hieronder om ontdek alle verkooppunten bij jou in de buurt.
stockists.list.eyebrow,SELLING POINTS
stockists.list.headline,Where To<br />Find Dutch Oil
stockists.list.group1.title,Bars & Cafés
stockists.list.group2.title,Slijterijen
stockists.list.group3.title,Groothandel
contact.hero.eyebrow,DUTCH OIL — DROPSHOT N° 01
contact.hero.title,"Let's <span class=""accent-electric"">Talk!</span>"
contact.card.headline,Ready To Bring<br />Dutch Oil To<br />Your Bar?
contact.card.body1,"Wil je Dutch Oil verkopen, schenken of meer weten over onze mogelijkheden? We horen graag van je."
contact.card.body2,"Of je nu horeca-ondernemer, groothandel of liefhebber bent: neem contact met ons op en ontdek wat Dutch Oil voor jou kan betekenen."
contact.card.body3,The Booze Company<br />Dutch Oil Dropshot
contact.card.cta,GET IN TOUCH
